,V 1.0,,,,,,,,,,,,,
462,1564,Wind Sword,ウィンドソード,16,104475,2400,0,Icon_Item_Weapon_018,2,1,123,1,"A sword imbued with the magic power of wind. Each
swing spawns a miniature gale.","風の魔力を宿す剣。
一振りで風を起こすと言われている。"
463,1565,Chaos Blade,カオスブレード,16,125105,3500,0,Icon_Item_Weapon_019,2,1,123,1,"Companion to the chaos shield. Chooses its bearer
with its magical power, and curses those unworthy of
wielding it.","カオスシールドと対をなす剣。
魔の力が使い手を選び、持つに値しない
使い手だと、剣から罵られる。"
464,1566,Sakura,紅桜,16,155400,2320,0,Icon_Item_Weapon_020,2,1,123,1,"A cursed red sword. Though it has a beautiful name,
its edge is coated with poison.","紅く染められた呪われし刀。
美しい名前とは裏腹に、剣には毒がぬってある。"
465,1567,Sunspot,サンスパーダ,16,308900,3600,0,Icon_Item_Weapon_021,2,1,127,1,"A sword as hot as the sun. Some say it's so hot that it
turns everything it strikes to ash.","太陽と同じ熱さを持つ剣。
その熱は全てを灰にすると言われているが、
本当なら大変なので、きっとたとえ話。"
466,1568,Durendal,デュランダル,16,999999,4800,0,Icon_Item_Weapon_022,2,1,130,1,"A sword with a shining blade. You can attack your
foes while they're captivated by its radiant beauty.","刀身が青白く光る剣。
流れるような美しいその形で見るものを
とりこにし、その隙に攻撃できる。"
467,1569,Aerial Blade,エリアルブレード,16,0,5600,0,Icon_Item_Weapon_023,2,1,145,1,"A sword imbued with the magic power of wind. Its
magical power makes it lighter than other swords.","風の魔力を宿す剣。
魔力により通常の剣より軽く感じられる。"
468,1570,Grantale,グランテール,16,0,5400,0,Icon_Item_Weapon_024,2,1,145,1,"A sword imbued with the magic power of earth. Very
tough. Guaranteed not to break or your money
back!","大地の力を宿す剣。
とてつもなく丈夫で、剣先に大人が
何人乗ろうとも、折れることはないという。"
469,1571,Smash Blade,スマッシュブレード,16,0,7000,0,Icon_Item_Weapon_025,2,1,146,1,"A sword designed to target a foe's weak points,
regardless of whether you stab them or smash them.","急所を的確に攻撃できるよう、
改良がほどこされた剣。
突いてよし、叩いてよし、急所をどうするかは自由。"
470,1572,Icifier,デスジュラード,16,0,8500,0,Icon_Item_Weapon_026,2,1,146,1,"The chill from this sword freezes water in the air.
Perfect for making shaved ice.","剣の冷気が、空気中の水分を凍らせる力を持つ。
シロップをかけて、食べようとした人もいたらしい。"
471,1573,Soul Eater,ソウルイーター,16,0,11000,0,Icon_Item_Weapon_027,2,1,147,1,"A magical sword that eats souls. Can absorb an
enemy's life force.","魂を喰らう魔剣、相手の生命力を奪う力がある。
後になって返せと言われても、
この剣は責任を負わない。"
473,1574,Star Saber,スターセイバー,16,0,9500,0,Icon_Item_Weapon_029,2,1,150,1,"A short sword with a swing as beautiful as shooting
stars. Just swing it, and bam, you're a superstar!","流れ星のように華麗な軌跡で振ることができる片手剣。
派手な衣装を着て、人前で振るえば、
君もトップスターだ。"
472,1575,Raventine,レーヴァンテイン,16,0,12500,0,Icon_Item_Weapon_028,2,1,147,1,"A short sword with an extremely hot blade. Legend
says it once turned a lake into a hot spring.","高熱を帯びる片手剣。
剣を持ったまま湖に飛び込み、
その湖を、温泉に変えたという伝説がある。"
475,1576,Dragon Slayer,ドラグスレイヤー,16,0,23000,0,Icon_Item_Weapon_031,2,1,150,1,"A sword shaped like a terrifying dragon claw. The
blades often argue over which is the favorite.","三頭のドラゴンをかたどった剣。
少し目を離すと、三本の刃が言い争いを始めるらしい。
切れ味に影響はないので安心。"
476,1577,Rune Blade,ルーンブレード,16,0,50000,0,Icon_Item_Weapon_032,2,1,150,1,"A treasured sword with rune power. Emits light that
casts no shadow.","ルーンの力を司る宝剣。
剣から放つ光は、影ができないと言われている。"
477,1578,Gladius,グラディウス,16,0,58000,0,Icon_Item_Weapon_033,2,1,150,1,"A short sword forged through years of disciplined
smithing. So sharp that you feel cut just looking at it.","鍛錬に鍛錬を重ねあげ、研ぎ澄ました片手剣。
剣を見ただけで、切傷を負ってしまうほど。"
478,1579,Rune Legend,レジェンドオブルーン,16,0,120000,0,Icon_Item_Weapon_034,2,1,150,1,"Swordsmen call this a legendary short sword. The
runes imbued on its blade shine majestically.","剣士の間では、もはや伝説とまで言われる片手剣。
刀身にルーンを宿し、その軌跡は光り輝くという。"
451,1580,Back Scratcher,まごの手,16,800,90,0,Icon_Item_Weapon_005,2,1,44,1,"A sword (?) used to scratch itchy backs. Maybe your
foes will freak out when they see it?","背中がかゆいときに使う剣、……剣？
ペチペチと叩くことで攻撃し、
精神的ダメージも与えられるかも？"
453,1581,Spoon,スプーン,16,7800,750,0,Icon_Item_Weapon_007,2,1,66,1,"A magic sword that somehow makes people want
to eat pudding.","装備すると、プリンが食べたくなる呪いが
かかっていると言われる魔剣。"
452,1582,Veggieblade,ベジタブレード,16,6250,500,0,Icon_Item_Weapon_006,2,1,55,1,"A vegetable used as a sword. Who knows how much
damage it does... Created by selectively breeding
seeds.","何を思ったか、その手に握るのは野菜。
思いっきり振ればちょっとはダメージになるだろうか。
継続的に、品種改良が行われているらしい。"
456,1583,Plant Sword,剣草のつるぎ,16,0,1000,0,Icon_Item_Weapon_011,2,1,151,1,"A sword made from a plant. The more passionately
you tend it, the bigger it grows and the stronger it
becomes.","植物の剣。
育てる際にかけた愛情が強さとなる。"
479,1584,Buff-A-Way,バッファキラーイ,16,13000,650,0,Icon_Item_Weapon_232,2,1,66,1,"Makes a sound that buffamoo hate. Deals heavy
damage to buffamoo.","バッファモー達が苦手な音がでる剣。
バッファモー達に対しては、とても強大な一撃を与えることができる。"
480,1585,Spring Sword,スプリングソード,16,0,5000,0,Icon_Item_Weapon_233,2,1,135,1,"A sword imbued with the power of seasons. Can
deal incredible damage in spring.","季節の力を得られる剣。
春の季節だと、強力な力で攻撃を与えることができる。"
481,1586,Earthen Blade,大地の剣,16,18500,925,0,Icon_Item_Weapon_234,2,1,82,1,"A sword imbued with the power of earth. Said to
shake the ground with each swing.","大地の力を宿す剣。
一振りすることで大地が震えると言われる。"
482,1587,Trinity Edge,三枚刃ソード,16,66000,3300,0,Icon_Item_Weapon_235,2,1,99,1,"A sword fitted with three sharp blades. The triple-
blade action is perfect for shaving beard stubble.","鋭い刃が3本付いた剣。
三枚刃の力で伸びるヒゲもイチコロだ。"
483,1588,Crystal Blade,クリスタルブレード,16,0,17500,0,Icon_Item_Weapon_236,2,1,145,1,"A translucent crystal sword. Shines brighter with
every swing.","透き通ったクリスタルの剣。
高級感があり、振ることで更に光り輝く。"
484,1590,Claymore,クレイモア,17,160,23,0,Icon_Item_Weapon_035,2,1,12,1,"A long sword that's easy to swing. You can also play
with its decorative ring. (But don't try it at home!)","扱いやすい両手剣。
リングの飾りが特徴的で、指を通して
遊んだりもできる。"
485,1591,Zweihaender,ツーハンドソード,17,1675,41,0,Icon_Item_Weapon_036,2,1,30,1,"A large two-handed sword. Not much else to say...
It's very straight-forward and to the ""point.""","両手で扱う大剣。
特に目立った点はないが、名前を言うときには、
ツーではなく「トゥー」と発音するのが通。"
486,1592,Zweihaender+,ツーハンドソード改,17,4450,160,0,Icon_Item_Weapon_037,2,1,44,1,"Zweihaender strengthened with special power. Its
size puts the ""broad"" in ""broadsword.""","不思議な力で強化された剣。
剣の幅が非常に広くなって帰ってきた。
別名「ビンタソード」"
488,1593,Great Sword,グレートソード,17,9700,200,0,Icon_Item_Weapon_039,2,1,44,1,"A long sword designed to never lose its edge.
Balanced and easy to hold.","刃こぼれしにくいように加工された両手剣。
重心のバランスも見直され、持ちやすくもなっている。"
489,1594,Sea Cutter,シーカッター,17,14600,550,0,Icon_Item_Weapon_040,2,1,66,1,"A sword that can supposedly divide the sea. Listen
closely and you'll hear the sound of ocean waves.","名の通り、海を切り裂くと伝えられる両手剣。
耳を近づけると波の音が聞こえるという
意外な一面も持つ。"
490,1595,Cyclone Blade,サイクロンブレード,17,24000,1000,0,Icon_Item_Weapon_041,2,1,99,1,"A sword imbued with the magic power of wind. Small
holes in its thin blade allow air to pass through.","風の魔力を宿す剣。
細身に作られ、風を起こしやすいように
小さな穴が開いている。"
492,1596,Poison Blade,ポイズンブレード,17,32300,1050,0,Icon_Item_Weapon_043,2,1,99,1,"A longsword with a poison-covered blade. So
dangerous that even a small scratch can kill you.","刀身に毒をぬった両手剣。
かすり傷でも致命傷になりかねない危険なヤツ。"
493,1597,Katzbalger,カッツバルケル,17,50080,1100,0,Icon_Item_Weapon_044,2,1,99,1,"A smartly-designed sword with an aerodynamic
shape that makes it easy to swing.","使いやすさを追い求めた剣。
振りまわしやすいように、形状がシンプルになった。"
494,1598,Earth Shade,アースシェイド,17,62050,1400,0,Icon_Item_Weapon_045,2,1,99,1,"A sword blessed by Mother Nature. Its design
resembles a fault line.","大地の恩恵を受けた剣。
地面を裂いたようなデザインが特徴的。"
495,1599,Big Knife,ビッグナイフ,17,78600,800,0,Icon_Item_Weapon_046,2,1,119,1,"A knife with a large blade. So large, in fact, that one
cannot easily cut apples with it. Unless they're
REALLY BIG.","ビッグなナイフ。
とてもナイフがビッグでビッグがナイフ。
これでリンゴを切るのはむずかしい。"
496,1600,Katana,太刀,17,87600,980,0,Icon_Item_Weapon_047,2,1,119,1,"A weapon from lands far to the east. Beautiful,
strong, and sharp. In rare cases, you may strike down
foes with a single blow.","東方から伝わった武器。
美しさ、切れ味、折れにくさをあわせ持つ職人的武器。
まれに一撃で相手を倒すことがある。"
497,1601,Flame Saber,フレイムセイバー,17,89800,1200,0,Icon_Item_Weapon_048,2,1,119,1,"A sword imbued with the magic power of fire. A
single swing will make you drip with sweat.","火の魔力を宿す剣、赤い刀身が特徴的。
剣を一振りするだけで、汗が大量に出てしまうらしい。"
498,1602,Bio Smasher,バイオスマッシャー,17,105000,2700,0,Icon_Item_Weapon_049,2,1,123,1,"A poisoned long sword with jagged edges. Designed
to spread poison thoroughly.","毒をぬりこんだ両手剣。
ギザギザの形状で、毒を与えやすいように
作られている。"
499,1603,Snow Crown,スノークラウン,17,130500,3000,0,Icon_Item_Weapon_050,2,1,123,1,"A long sword imbued with water power. When
plunged into snow, not a single flake will melt.","水の力を宿す両手剣。
剣のそばに積もった雪がいつまでも
溶けることなく残っていたためその名が付けられた。"
500,1604,Dancing Dicer,斬々舞,17,157200,4400,0,Icon_Item_Weapon_051,2,1,123,1,"A weapon from lands far to the east. The wielder
must handle its sharp blade with care. Can cut down
foes with a single swing.","東方から伝わったとされる武器。
切れ味が鋭く、使い手も注意が必要。
熟練の使い手は相手を一撃で倒すこともできるという。"
501,1605,Flamberge,フランベルジュ,17,187900,5800,0,Icon_Item_Weapon_052,2,1,123,1,"A sword with a uniquely shaped blade. Often used in
ceremonies due to its beauty.","特殊な形の刀身を持つ剣。
装飾的な外見などから儀式用としても使われる。"
502,1606,Flamberge+,フランベルジュ改,17,439500,7300,0,Icon_Item_Weapon_053,2,1,127,1,"Flamberge strengthened with magic power. Its thin
blade makes it easy to use.","不思議な力で強化された剣。
刀身をスマートに改良し、扱いやすくした。"
503,1607,Volcanon,ボルカノン,17,720000,2400,0,Icon_Item_Weapon_054,2,1,127,1,"A sword imbued with fire. Emits powerful light. So hot
that it raises the room temperature by 10 degrees.","炎を宿す刀身が強い光を放つ。周囲の温度を
５度上げると言われるほど、熱いハートの武器。"
504,1608,Psycho,サイコ,17,999999,2469,0,Icon_Item_Weapon_055,2,1,127,1,"A uniquely-shaped long sword. Its three blades carry
assorted curses which inflict many status ailments.","変わった形の両手剣。
三本の刃のそれぞれに別々の呪いがかかっており、
複数の状態異常を引き起こす。"
505,1609,Shine Blade,シャインブレード,17,0,8000,0,Icon_Item_Weapon_056,2,1,145,1,"A sword with a high-heat blade that can melt away
the evil in your enemies' hearts.","高熱で光り輝く刃をもつ。
その光で悪しき心を溶かし尽くして、
改心させる。"
506,1610,Grand Smasher,グランドスマッシャー,17,0,3480,0,Icon_Item_Weapon_057,2,1,145,1,"A long sword imbued with earth power. The spiky
side resembles a mountain range.","トゲトゲの峰を持つ両手剣。
大地の力を宿し、そのトゲは連なる山を
かたどったと言われている。"
507,1614,Steel Slicer,名刀達刃,17,0,12000,0,Icon_Item_Weapon_061,2,1,147,1,"Supposedly can cut through anything, hence the
name.","斬れぬものはないと言われ、その刃は悪しき心を断つ。
「斬鉄」の異名を持つ名刀。"
508,1615,Moon Shadow,月影,17,0,9500,0,Icon_Item_Weapon_062,2,1,150,1,"A weapon from lands far to the east. Appears as
naught but a shadow under cover of night. Can
take down foes in a single blow.","東方から伝わったとされる武器。
夜になると、剣が影のように見えづらくなることから、
その名がついた。一撃で相手を倒すことがある。"
509,1616,Blue-Eyed Blade,蒼眼ノ太刀,17,0,14800,0,Icon_Item_Weapon_063,2,1,150,1,"Makes its bearer's eyes shine blue, and grants the
power to see an opponent's skill. Increases critical
hit chance.","使い手の目を青く光らせ、
相手の剣筋を見極めることができると言われている。
非常にクリティカルが出やすい。"
510,1617,Balmung,バルムンク,17,0,21200,0,Icon_Item_Weapon_064,2,1,150,1,"A long sword with sleek lines. Big but aerodynamic
and easy to handle.","流線型の刃を持つ両手剣。
空気の抵抗までもが計算され、
大きくても振りやすいように設計されている。"
511,1618,Braveheart,ブレイブハート,17,0,36020,0,Icon_Item_Weapon_065,2,1,150,1,"A rare long sword with a glittering blade. Its bearer's
courage gives it strength.","刀身が光り輝く幻の両手剣。
持ち主の勇気が、剣に宿り強さとなる。"
512,1619,Force Element,フォースエレメント,17,0,47200,0,Icon_Item_Weapon_066,2,1,150,1,"A lighted long sword. Contains strong elemental
power, making it hard to use.","光を帯びる両手剣。
属性の力があふれ出してきているため
扱いは非常にむずかしい。"
513,1620,Heaven Asunder,天ノ村雲ノ剣,17,0,58000,0,Icon_Item_Weapon_067,2,1,150,1,"A legendary sword with a sharp blade that can
pierce clouds. High chance of taking out foes in a
single blow.","風を起こし、雲を裂くと言われている
切れ味のするどい伝説の両手剣。
かなりの確率で相手を一撃で倒す。"
514,1621,Caliburn,カリバーン,17,0,150000,0,Icon_Item_Weapon_068,2,1,150,1,"A legendary calorie-burning sword. Few believe it
actually exists. But here it is! Supposedly those who
wield it have kingly caliber.","言い伝えの中に登場する両手剣。
実在するとは思われていなかった。
この剣を持つものは王として認められると言う。"
491,1622,Dekash+,デカッシュ改,17,26000,7200,0,Icon_Item_Weapon_042,2,1,82,1,"Smells like fish, so it tends to attract cats.","とても魚くさい。
猫がよってくるかも。"
487,1623,Daicone,ダーイコーン,17,4800,450,0,Icon_Item_Weapon_038,2,1,38,1,"A daikon radish that grew so large and strong it
became a viable weapon.","最初にこの武器を作ったのは農家で、
大きな大根が収穫できたので、
思わず武器にしてしまったという。"
515,1624,Spirit Cleaver,彷魂斬,17,0,42500,0,Icon_Item_Weapon_237,2,1,146,1,"An ethereal blade capable of capturing spirits. Deals
massive damage to ghost-type enemies.","ゴーストのような霊をとらえる刀。
ゴースト達に対しては、とても強大な攻撃を与えることができる。"
516,1625,Spring Buster Sword,スプリングバスターソード,17,0,5000,0,Icon_Item_Weapon_240,2,1,145,1,"A long sword imbued with the power of seasons.
Can deal incredible damage in spring.","季節の力を得られる両手剣。
春の季節だと、強力な力で攻撃を与えることができる。"
517,1628,Vendetta,ヴェンデッタ,17,65000,1500,0,Icon_Item_Weapon_241,2,1,99,1,"A black weapon of vengeance. Derives its name
from the massive damage it deals to enemies.",敵へ攻撃する力が強く、その力ゆえ、復讐という意味を持つ黒き武器。
518,1629,Angel Sword,エンジェルソード,17,0,30000,0,Icon_Item_Weapon_242,2,1,145,1,"A holy winged sword that utilizes the power of
angels.","羽が生えたような
天使の力を利用した聖なる剣。"
519,1631,Spear,スピア,18,200,23,0,Icon_Item_Weapon_069,2,1,12,1,"A simple, beginner-friendly spear. So simple that it's
often used as a food skewer.","シンプルな作りの槍。初心者にはうってつけ。
シンプルすぎて、串焼きの棒に使われた
という過去を持つ。"
520,1632,Wood Staff,こんぼう,18,1220,12,0,Icon_Item_Weapon_070,2,1,30,1,"A hard wooden club. Hitting something with it does
more damage than stabbing.","硬く作り直した木の棒。
突くというよりも叩いたほうが強そうなのは秘密。"
521,1633,Lance,ランス,18,1700,34,0,Icon_Item_Weapon_071,2,1,30,1,"Has a unique triangular shape. Supposedly used in a
war fought by an ancient empire.","三角錐の特徴的な形状。
かつて軍事帝国も使用していたと言われている。"
522,1634,Lance+,ランス改,18,4580,160,0,Icon_Item_Weapon_072,2,1,44,1,"A lance strengthened by magical power. From tip to
handle, it sparkles a gorgeous gold.","不思議な力で強化された槍。
槍全体が金色に光っていて、
ゴージャスになった。"
525,1635,Needle Spear,ニードルスピア,18,9600,225,0,Icon_Item_Weapon_075,2,1,44,1,"A spear with a long blade. Has many uses and a high
rate of owner satisfaction. A+++ would wield again!","刃の長い槍。
斬る用途にも幅広く対応した、満足度の高い槍。"
526,1636,Trident,トライデント,18,18800,400,0,Icon_Item_Weapon_076,2,1,66,1,"A three-pronged spear. Some lose their memory
from shock when stabbed with it.","三叉の槍。
槍に突かれたときの衝撃で、
記憶がなくなってしまった人もいる。"
527,1637,Water Spear,ウォータースピア,18,24250,585,0,Icon_Item_Weapon_077,2,1,66,1,"A spear imbued with the magic power of water.
Always wet. Don't let it slip out of your hands!","水の魔力を宿した槍。槍全体が常にぬれている。
突いたときに、手がすべるとすっぽ抜けて
しまうので注意。"
528,1638,Halberd,ハルバード,18,35000,600,0,Icon_Item_Weapon_078,2,1,96,1,"A spear used for various purposes — though most
involve stabbing and cutting, as you might imagine.","突いたり切ったりできる万能タイプの槍。
万能ゆえの苦労はたえない。"
529,1639,Corsesca,コルセスカ,18,58800,750,0,Icon_Item_Weapon_079,2,1,99,1,"A spear with a wide blade. Repeated experiments to
forge a high-accuracy blade resulted in its current
shape.","広がった刃を持つ槍。
命中力を重視した結果、このような形状になった。"
531,1640,Corsesca+,コルセスカ改,18,60400,1050,0,Icon_Item_Weapon_081,2,1,99,1,"Corsesca strengthened by magical power. Very
easy to wield at half its original weight.","不思議な力で強化された槍。
重さが半分になり、非常に扱いやすい。"
532,1641,Poison Spear,ポイズンスピア,18,75200,900,0,Icon_Item_Weapon_082,2,1,119,1,"A poisoned spear. Easily spreads poison with its
spiked blade.","毒がぬられた槍。
刃が広がっていて、毒を与えやすいようになっている。"
533,1643,Heavy Lance,ヘヴィランス,18,96800,2400,0,Icon_Item_Weapon_084,2,1,123,1,"A lance designed to focus solely on attack power to
the detriment of everything else. Heavy and hard to
wield.","ランスの攻撃力を強化した槍。
かなり重くなってしまい、扱いづらくなってしまった。"
534,1644,Feather Lance,フェザーランス,18,124710,2900,0,Icon_Item_Weapon_085,2,1,123,1,"A spear imbued with the magic power of wind. Said
to pierce the clouds if you thrust it skyward.","風の魔力を秘めた槍。
空に向かって突けば、雲を穿つと言われている。
雨の日でも安心。"
535,1645,Iceberg,イセベルグ,18,155480,4400,0,Icon_Item_Weapon_086,2,1,123,1,"A spear imbued with water power. Designed to work
even underwater. No need for a rod if you stab the
fish!","水の力を秘めた槍。
水中でも力を発揮できるような作りになっている。
魚を突けば、釣竿いらず。"
536,1646,Blood Lance,ブラッドランス,18,186700,3500,0,Icon_Item_Weapon_087,2,1,123,1,"A cursed spear. Its two blades remind you of a
warlock.","呪われた槍。
二又に分かれた刃が、魔人を思わせる
形状をしている。"
537,1647,Magical Lance,マジカルランス,18,428888,2500,0,Icon_Item_Weapon_088,2,1,135,1,"A lance with such strong magical power that its
entire surface rapidly changes color.","高い魔力に満ちた槍。
その力が槍の外にあふれだしているため
カラフルな色をしている。"
538,1648,Flare Lance,フレアランス,18,999999,4900,0,Icon_Item_Weapon_089,2,1,135,1,"A spear that produces intense heat. Feels even
hotter near the tip. Perhaps it can cure back pain.","高熱を発する槍、刃先になるほど高熱になる。
この槍でツボを突くと、血行がよくなり
腰痛が治るらしい。"
539,1649,Brionac,ブリューナク,18,0,7300,0,Icon_Item_Weapon_090,2,1,145,1,"A spear so strong that it can penetrate anything.
According to legend, it made a hole in the
mountains with one stab!","何でも絶対に貫く槍。
一突きで、山に大きな穴があいたこともあるらしい。"
540,1650,Poison Queen,ポイズンクイーン,18,0,9980,0,Icon_Item_Weapon_091,2,1,145,1,"A lance drenched in poisons from around the world.
Handle with care or it may also poison you.","世界の毒物オンパレード。
よく注意して扱わないと、使用者にも
毒がまわってしまう。"
541,1652,Metus,メトゥス,18,0,8888,0,Icon_Item_Weapon_093,2,1,146,1,"A spear designed to dig holes. Its hidden power
drains the life force of anyone it strikes.","地面を掘れそうな形状の槍。
この槍に傷つけられたものは、
秘められた魔力により、生命力を吸いとられる。"
542,1653,Silent Grave,サイレントグレイブ,18,0,9800,0,Icon_Item_Weapon_094,2,1,147,1,"A spear with a removable knife-like blade at its tip.
Has a sealing effect on enemies.","柄の先端にナイフのような刃を付けた槍。
ごくたまに、刃がポロっと取れてしまう。
攻撃時、封印の効果がある。"
543,1654,Overbreak,オーバーブレイク,18,0,10000,0,Icon_Item_Weapon_095,2,1,147,1,"A spear with a huge blade. Every swing makes the
enemy flinch. Maybe swinging will be enough!","巨大な刃をもつ槍。
振るうたびに相手がひるむ。
振り回してるだけで勝てた、という逸話もある。"
544,1655,Bjor,ピオール,18,0,24000,0,Icon_Item_Weapon_096,2,1,150,1,"A spear drenched in all available poisons. Has
various effects.","毒をたくさんぬった槍。
手に入る毒を全部ぬりました。
というキャッチコピーの通り、様々な効果がある。"
545,1656,Belvarose,ベルヴァロース,18,0,15000,0,Icon_Item_Weapon_097,2,1,150,1,"A spear tipped with a spiked ball. Requires skill to
use, but you can easily stun enemies after mastering
it.","先端にトゲがついた槍。
重心のバランスが悪いため、扱うには技術が必要だが、
使いこなせば相手をスタンさせやすい。"
546,1657,Gae Bolg,ゲイボルグ,18,0,42000,0,Icon_Item_Weapon_098,2,1,150,1,"A fierce, trident-like spear. Every stab hurts.","荒々しさあふれる槍。
三叉の形状により、一突きでも十分な
強さを誇る。"
547,1658,Dragon's Fang,竜の牙,18,0,40000,0,Icon_Item_Weapon_099,2,1,150,1,"A spear as sharp as a dragon fang. The blade
vibrates faster as danger approaches.","鋭い竜の牙を模した槍。
刃は常に高速で振動していて、
身に危険が近づくと、振動が強くなる。"
548,1659,Gungnir,グングニル,18,0,72000,0,Icon_Item_Weapon_100,2,1,150,1,"A legendary spear that can blow away storms,
although its incredible wind speed also puts the user
at risk.","嵐をも吹き飛ばすと言われる伝説の槍。
あまりの風速に、反動で使い手が
飛ばされてしまうほど。"
549,1660,Legion,レギオン,18,0,105000,0,Icon_Item_Weapon_101,2,1,150,1,"A lance with blades orbiting it. Foes can try to
dodge, but these phantom blades ensure they
won't make it very far.","浮遊霊の不思議な力を利用して周囲に刃を浮かせた槍。
避けたと思っても、周囲の刃が追尾し、
ダメージを与えることができる。"
524,1661,Pitchfork,ピッチフォーク,18,1500,200,0,Icon_Item_Weapon_074,2,1,44,1,"Origin of kitchen forks. Bit big for cake, though. And
spaghetti? Fahgeddabouddit!","食卓でおなじみの
フォークの由来となったもの。
これでケーキは食べられない。"
523,1662,Safety Lance,痛くなさそうな槍,18,600,80,0,Icon_Item_Weapon_073,2,1,38,1,"A lance with its tip covered in cotton and cloth. Still
hurts, though. We can stab if we want to!","棒の先を、綿と布でふわふわにしてみた。
それでも突かれてみると、思ったより痛い。"
530,1663,Pine Club,パイナ棒,18,29800,2000,0,Icon_Item_Weapon_080,2,1,99,1,"A lance that resembles a pineapple. Its surface
stings.","パイナップルが、皮をむかないと
食べづらいことを利用して作られた槍。
ちくちくして痛い。"
550,1664,Summer Lance,サマーランス,18,0,5000,0,Icon_Item_Weapon_245,2,1,145,1,"A lance imbued with the power of seasons. Can
deal incredible damage in summer.","季節の力を得られる槍。
夏の季節だと、強力な力で攻撃を与えることができる。"
551,1665,Cue,キュー,18,0,9000,0,Icon_Item_Weapon_246,2,1,145,1,"A stick designed to line up shots on a pool table.
Thrust it with all your might to send foes flying.","玉を突くことに特化した棒。
思いっ切り突くことで、相手を吹き飛ばしやすい。"
552,1666,Spear Axe,スピアアックス,18,26600,610,0,Icon_Item_Weapon_247,2,1,66,1,"Combines the functions of an axe with a spear.
Often used to thrust at foes.","斧としての機能を併せ持つ槍。
使用するときは、突いて使うことが多い。"
553,1667,Maple Lance,メイプルランス,18,0,5000,0,Icon_Item_Weapon_248,2,1,99,1,"A spear imbued with the power of seasons. Can deal
incredible damage in autumn.","季節の力を得られる槍。
秋の季節だと、強力な力で攻撃を与えることができる。"
580,1669,Battle Hammer,バトルハンマー,20,340,42,0,Icon_Item_Weapon_123,2,1,30,1,"A hammer suitable for sending foes flying, or at least
stunning them.","相手を吹き飛ばすのに最適な武器。
日頃のうっぷんも一緒に吹き飛ばすと、威力が上がる。
ハンマーは基本的にスタンさせやすい設計。"
582,1670,Bat,カッキーン,20,4620,120,0,Icon_Item_Weapon_125,2,1,44,1,"A wooden bat used in baseball. Not anyone's first
choice of weapon, but it still makes you want to
swing for the fences.","競技用の木の棒。
どうやって使うのかは、よくわからないが
なぜか球が来ると打ち返したくなる。"
583,1671,War Hammer,ウォーハンマー,20,6120,135,0,Icon_Item_Weapon_126,2,1,44,1,"Much heavier than it looks. Swing carefully or you
might throw out your back!","見た目よりも重量感たっぷり。
腰への負担が大きいのでぎっくり腰に要注意。"
584,1672,Great Hammer,グレートハンマー,20,22400,400,0,Icon_Item_Weapon_129,2,1,66,1,"A hammer designed to reduce the shock of a
strike's impact. Very well balanced.","攻撃時の衝撃を和らげるように設計されたハンマー。
重心のバランスがとても良い。"
585,1673,Ice Hammer,アイスハンマー,20,36450,780,0,Icon_Item_Weapon_130,2,1,96,1,"A hammer made of ice. Good for smashing things on
a hot day. Refreshing!","氷でできたハンマー。
暑いときには少しだけ取って使うことができる。"
586,1674,Bone Hammer,ボーンハンマー,20,78800,820,0,Icon_Item_Weapon_131,2,1,99,1,A light but strong hammer made from bones.,"さらに軽量化したハンマー。
軽くて強度の高い骨により、強さと軽さを両立した。"
587,1675,Flame Hammer,フレイムハンマー,20,100000,1550,0,Icon_Item_Weapon_133,2,1,119,1,"A hammer with flames on one side that enhance its
damage output.","片側に火の力を秘める。
叩くときには、火が着いて押す力を
手助けしてくれる。"
588,1676,Gigant Hammer,ギガントハンマー,20,134980,2800,0,Icon_Item_Weapon_134,2,1,123,1,A large hammer. Avoid hitting yourself!,"巨大なハンマー。
自分を叩いてしまわないように注意が必要。"
589,1677,Sky Hammer,スカイハンマー,20,156100,2900,0,Icon_Item_Weapon_135,2,1,123,1,A hammer with wings. Very light and easy to use.,"羽が生えたハンマー。
おかげでとても軽くなり、疲れにくいらしい。"
590,1678,Graviton Hammer,グラヴィトンハンマー,20,840000,3800,0,Icon_Item_Weapon_136,2,1,135,1,"A hammer imbued with earth power. Designed to
prevent your hands from going numb after a
powerful blow.","大地の力を秘めたハンマー。
強く叩いても手がしびれないように作られている。"
591,1679,Spiked Hammer,スパイクハンマー,20,999999,6100,0,Icon_Item_Weapon_137,2,1,135,1,"A hammer outfitted with spikes that can easily score
critical hits.","トゲつきのハンマー。
叩いた上にチクチクするというすごいハンマー。
ハンマーだがクリティカルがでやすい。"
592,1680,Crystal Hammer,クリスタルハンマー,20,0,11000,0,Icon_Item_Weapon_138,2,1,145,1,"A hammer imbued with water power. Its hard head
and spikes cause major damage.","水の力を宿したハンマー。
とても硬いハンマーヘッドと冷たいトゲで、
叩かれたほうはたまったもんじゃない。"
593,1681,Schnabel,シュナーベル,20,0,11800,0,Icon_Item_Weapon_139,2,1,146,1,"A hammer designed to be small and light. Has good
overall balance.","軽量化を試みたハンマー。
全体のバランスを重視した。"
